row_id,file,line_number,entry_type,speaker_clean,speaker_raw,original_jp,vietnamese,tag_codes,scene_type,notes
1,EV_OP.ks,21,narration,Dẫn chuyện,,頭の上いっぱいに広がる青い空。青々とした草の匂い。[r]手足を動かせば、どこまでも行けそうだった。[p],Bầu trời xanh ngắt trải rộng trên đầu. Mùi cỏ non ngai ngái.[r]Cảm giác như chỉ cần sải bước là có thể đi tới bất cứ đâu.[p],"[r], [p]",Story_Opening,Có tag [r] xuống dòng | Có tag [p] chuyển trang
2,EV_OP.ks,22,narration,Dẫn chuyện,,息も切れず、体も軽い。[r]こんなに気持ちよく走ったのは、いったいいつ以来だろう。[p],"Hơi thở không dồn dập, cơ thể cũng thật nhẹ nhõm.[r]Đã bao lâu rồi mình mới được chạy một cách sảng khoái thế này nhỉ.[p]","[r], [p]",Story_Opening,Có tag [r] xuống dòng | Có tag [p] chuyển trang
3,EV_OP.ks,23,narration,Dẫn chuyện,,振り返ると、小さな体の女の子が懸命に自分を追いかけてきていた。[p],"Ngoảnh mặt lại, một cô bé với thân hình nhỏ nhắn đang cố hết sức đuổi theo tôi.[p]",[p],Story_Opening,Có tag [p] chuyển trang
4,EV_OP.ks,24,dialogue,日高 舜 (MC),[舜],[舜]「凪、走らなくていいって。そんなに走ると──」[p],"[舜]「Nagi à, không cần phải chạy đâu. Cứ chạy thục mạng thế thì ngã bây giờ──」[p]","[舜], [p]",Story_Opening,Có tag [p] chuyển trang
5,EV_OP.ks,25,narration,Dẫn chuyện,,草むらの中に姿が消える。[r]慌てて戻ると、女の子が草の中にうつぶせに倒れ込んでいた。[p],Bóng dáng cô bé khuất sau lùm cỏ.[r]Tôi hoảng hốt quay lại thì thấy cô bé đang ngã sấp mặt giữa đám cỏ.[p],"[r], [p]",Story_Opening,Có tag [r] xuống dòng | Có tag [p] chuyển trang
6,EV_OP.ks,26,dialogue,日高 舜 (MC),[舜],[舜]「大丈夫？　すぐ戻るって言っただろ」[p],[舜]「Cậu có sao không? Tớ đã bảo là sẽ quay lại ngay mà.」[p],"[舜], [p]",Story_Opening,Có tag [p] chuyển trang
7,EV_OP.ks,27,dialogue,月城 凪 (Nagi),凪,凪「でも、一緒に行きたい…」[p],"Nagi「Nhưng mà, tớ muốn đi cùng cậu cơ…」[p]",[p],Story_Opening,"Nagi nói chuyện: dịu dàng, xưng tớ - Shun-chan (hoặc em - anh) | Có tag [p] chuyển trang"
8,EV_OP.ks,28,narration,Dẫn chuyện,,女の子の手を取り、草むらをゆっくりと歩き出す。[p],"Tôi nắm lấy tay cô bé, chậm rãi bước đi qua lùm cỏ.[p]",[p],Story_Opening,Có tag [p] chuyển trang
9,EV_OP.ks,29,dialogue,月城 凪 (Nagi),凪,凪「ゲーム、置いてきちゃってごめんなさい…」[p],Nagi「Tớ xin lỗi vì lỡ bỏ quên máy chơi game mất rồi...」[p],[p],Story_Opening,"Nagi nói chuyện: dịu dàng, xưng tớ - Shun-chan (hoặc em - anh) | Có tag [p] chuyển trang"
10,EV_OP.ks,30,dialogue,日高 舜 (MC),[舜],[舜]「いいよ。俺がもう帰ろうって言って慌てさせちゃったんだし」[p],[舜]「Không sao đâu. Là do tớ bảo về luôn làm Nagi luống cuống mà.」[p],"[舜], [p]",Story_Opening,Có tag [p] chuyển trang
11,EV_OP.ks,31,narration,Dẫn chuyện,,ギュッとその小さな手を握る。少し汗ばんでいた。[p],Tôi nắm chặt lấy bàn tay nhỏ bé ấy. Nó đang rịn chút mồ hôi.[p],[p],Story_Opening,Có tag [p] chuyển trang
12,EV_OP.ks,32,dialogue,月城 凪 (Nagi),凪,凪「ゲーム、なくなってたらどうしよう」[p],Nagi「Lỡ máy chơi game mất luôn thì phải làm sao đây?」[p],[p],Story_Opening,"Nagi nói chuyện: dịu dàng, xưng tớ - Shun-chan (hoặc em - anh) | Có tag [p] chuyển trang"
13,EV_OP.ks,33,dialogue,日高 舜 (MC),[舜],[舜]「あるよ。凪、ちゃんと持ち物に名前書いてあるじゃん」[p],[舜]「Còn mà. Nagi có viết tên đàng hoàng lên đồ của mình rồi cơ mà.」[p],"[舜], [p]",Story_Opening,Có tag [p] chuyển trang
14,EV_OP.ks,34,dialogue,月城 凪 (Nagi),凪,凪「うん…！」[p],Nagi「Ừm...!」[p],[p],Story_Opening,"Nagi nói chuyện: dịu dàng, xưng tớ - Shun-chan (hoặc em - anh) | Có tag [p] chuyển trang"
15,EV_OP.ks,35,narration,Dẫn chuyện,,女の子は、ニコニコの笑顔で俺を見上げてくれる。[p],Cô bé nhoẻn miệng cười tươi rói ngước lên nhìn tôi.[p],[p],Story_Opening,Có tag [p] chuyển trang
